GeneName	geneSymbol	GeneDescription
YDR523C	SPS1	SPorulation Specific
YDR524C	AGE1	Arf Gap with Effector function(s)
YDR524C-A	""	""
YDR524C-B	""	""
YDR524W-C	""	""
YDR525W	API2	APIcal
YDR525W-A	SNA2	Sensitivity to NA+
YDR526C	""	""
YDR527W	RBA50	RNA polymerase II (B) Associated protein
YDR528W	HLR1	Homolog of LRe1
YDR529C	QCR7	ubiQuinol-cytochrome C oxidoReductase
YDR530C	APA2	AP4A phosphorylase
YDR531W	CAB1	Coenzyme A Biosynthesis
YDR532C	KRE28	""
YDR533C	HSP31	Heat-Shock Protein
YDR534C	FIT1	Facilitator of Iron Transport
YDR535C	""	""
YDR536W	STL1	Sugar Transporter-Like protein
YDR537C	""	""
YDR538W	PAD1	Phenylacrylic Acid Decarboxylase
YDR539W	FDC1	Ferulic acid DeCarboxylase
YDR540C	IRC4	Increased Recombination Centers
YDR541C	""	""
YDR542W	PAU10	seriPAUperin
YDR543C	""	""
YDR544C	""	""
YDR545C-A	""	""
YDR545W	YRF1-1	""
YEL001C	IRC22	Increased Recombination Centers
YEL002C	WBP1	Wheat germ agglutinin-Binding Protein
YEL003W	GIM4	Gene Involved in Microtubule biogenesis
YEL004W	YEA4	""
YEL005C	VAB2	VAc8p Binding
YEL006W	YEA6	""
YEL007W	MIT1	Muc1 expressed Independent of TEC1
YEL008C-A	""	""
YEL008W	""	""
YEL009C	GCN4	General Control Nonderepressible
YEL009C-A	""	""
YEL010W	""	""
YEL011W	GLC3	GLyCogen
YEL012W	UBC8	UBiquitin-Conjugating
YEL013W	VAC8	VACuole related
YEL014C	""	""
YEL015W	EDC3	Enhancer of mRNA DeCapping
YEL016C	NPP2	ecto-Nucleotide Pyrophosphatase/Phosphodiesterase
YEL017C-A	PMP2	Plasma Membrane Proteolipid
YEL017W	GTT3	GlutaThione Transferase
YEL018C-A	""	""
YEL018W	EAF5	Esa1p-Associated Factor
YEL019C	MMS21	Methyl MethaneSulfonate sensitivity
YEL020C	PXP1	PeroXisomal Protein
YEL020C-B	""	""
YEL020W-A	TIM9	Translocase of the Inner Mitochondrial membrane
YEL021W	URA3	URAcil requiring
YEL022W	GEA2	Guanine nucleotide Exchange on ARF
YEL023C	""	""
YEL024W	RIP1	Rieske Iron-sulfur Protein
YEL025C	""	""
YEL026W	SNU13	Small NUclear ribonucleoprotein associated
YEL027W	VMA3	Vacuolar Membrane Atpase
YEL028W	""	""
YEL029C	BUD16	BUD site selection
YEL030C-A	""	""
YEL030W	ECM10	ExtraCellular Mutant
YEL031W	SPF1	Sensitivity to Pichia Farinosa killer toxin
YEL032C-A	""	""
YEL032W	MCM3	MiniChromosome Maintenance
YEL033W	MTC7	Maintenance of Telomere Capping
YEL034C-A	""	""
YEL034W	HYP2	HYPusine-containing protein
YEL035C	UTR5	Unidentified TRanscript
YEL036C	ANP1	ANP and osmotic sensitive
YEL037C	RAD23	RADiation sensitive
YEL038W	UTR4	Unidentified TRanscript
YEL039C	CYC7	CYtochrome C
YEL040W	UTR2	Unidentified TRanscript
YEL041W	YEF1	""
YEL042W	GDA1	Guanosine DiphosphatAse
YEL043W	""	""
YEL044W	IES6	Ino Eighty Subunit
YEL045C	""	""
YEL046C	GLY1	GLYcine requiring
YEL047C	FRD1	Fumarate ReDuctase
YEL048C	TCA17	TRAPP Complex Associated protein
YEL049W	PAU2	seriPAUperin family
YEL050C	RML2	Ribosomal Mitochondrial Large
YEL050W-A	""	""
YEL051W	VMA8	Vacuolar Membrane Atpase
YEL052W	AFG1	ATPase Family Gene
YEL053C	MAK10	MAintenance of Killer
YEL053W-A	""	""
YEL054C	RPL12A	Ribosomal Protein of the Large subunit
YEL055C	POL5	POLymerase
YEL056W	HAT2	Histone AcetylTransferase
YEL057C	SDD1	Suppressor of Degenerative Death
YEL058W	PCM1	PhosphoaCetylglucosamine Mutase
YEL059C-A	SOM1	SOrting Mitochondrial
YEL059W	HHY1	Hypersensitivity to HYgromycin B
YEL060C	PRB1	PRoteinase B
YEL061C	CIN8	Chromosome INstability
YEL062W	NPR2	Nitrogen Permease Regulator
YEL063C	CAN1	CANavanine resistance
YEL064C	AVT2	Amino acid Vacuolar Transport
YEL065W	SIT1	Siderophore Iron Transport
YEL066W	HPA3	Histone and other Protein Acetyltransferase
YEL067C	""	""
YEL068C	""	""
YEL069C	HXT13	HeXose Transporter
YEL070W	DSF1	Deletion Suppressor of mptFive/pufFive mutation
YEL071W	DLD3	D-Lactate Dehydrogenase
YEL072W	RMD6	Required for Meiotic nuclear Division
YEL073C	""	""
YEL074W	""	""
YEL075C	""	""
YEL075W-A	""	""
YEL076C	""	""
YEL076C-A	""	""
YEL077C	""	""
YEL077W-A	""	""
YER001W	MNN1	MaNNosyltransferase
YER002W	NOP16	NucleOlar Protein
YER003C	PMI40	PhosphoMannose Isomerase
YER004W	FMP52	Found in Mitochondrial Proteome
YER005W	YND1	Yeast Nucleoside Diphosphatase
YER006C-A	""	""
YER006W	NUG1	NUclear GTPase
YER007C-A	TMA20	Translation Machinery Associated
YER007W	PAC2	Perish in the Absence of Cin8p
YER008C	SEC3	SECretory
YER009W	NTF2	Nuclear Transport Factor
YER010C	""	""
YER011W	TIR1	TIp1-Related
YER012W	PRE1	PRoteinase yscE
YER013W	PRP22	Pre-mRNA Processing
YER014C-A	BUD25	BUD site selection
YER014W	HEM14	HEMe biosynthesis
YER015W	FAA2	Fatty Acid Activation
YER016W	BIM1	BInding to Microtubules
YER017C	AFG3	ATPase Family Gene
YER018C	SPC25	Spindle Pole Component
YER019C-A	SBH2	Sec61 beta homolog 2
YER019W	ISC1	Inositol phosphoSphingolipid phospholipase C
YER020W	GPA2	G Protein Alpha subunit
YER021W	RPN3	Regulatory Particle Non-ATPase
YER022W	SRB4	Suppressor of RNA polymerase B
YER023C-A	""	""
YER023W	PRO3	PROline requiring
YER024W	YAT2	""
YER025W	GCD11	General Control Derepressed
YER026C	CHO1	CHOline requiring
YER027C	GAL83	GALactose metabolism
YER028C	MIG3	Multicopy Inhibitor of Growth
YER029C	SMB1	SmB/B' homolog
YER030W	CHZ1	Chaperone for Htz1/H2A-H2B dimer
YER031C	YPT31	Yeast Protein Two
YER032W	FIR1	Factor Interacting with REF2
YER033C	ZRG8	Zinc Regulated Gene
YER034W	""	""
YER035W	EDC2	Enhancer of mRNA DeCapping
YER036C	ARB1	ATP-binding cassette protein involved in Ribosome Biogenesis
YER037W	PHM8	PHosphate Metabolism
YER038C	KRE29	Killer toxin REsistant
YER038W-A	FMP49	Found in Mitochondrial Proteome
YER039C	HVG1	Homologous to VRG4
YER039C-A	""	""
YER040W	GLN3	GLutamiNe metabolism
YER041W	YEN1	""
YER042W	MXR1	peptide Methionine sulfoXide Reductase
YER043C	SAH1	S-Adenosyl-l-Homocysteine hydrolase
YER044C	ERG28	ERGosterol biosynthesis
YER044C-A	MEI4	MEIosis-specific
YER045C	ACA1	ATF/CREB Activator
YER046W	SPO73	SPOrulation
YER046W-A	""	""
YER047C	SAP1	Sin1 Associated Protein
YER048C	CAJ1	""
YER048W-A	ISD11	Iron-Sulfur protein biogenesis, Desulfurase-interacting protein
YER049W	TPA1	Termination and PolyAdenylation
YER050C	RSM18	Ribosomal Small subunit of Mitochondria
YER051W	JHD1	JmjC domain-containing Histone Demethylase
YER052C	HOM3	HOMoserine requiring
YER053C	PIC2	PI Carrier
YER053C-A	""	""
YER054C	GIP2	Glc7-Interacting Protein
YER055C	HIS1	HIStidine
YER056C	FCY2	FluoroCYtosine resistance
YER056C-A	RPL34A	Ribosomal Protein of the Large subunit
YER057C	HMF1	Homologous Mmf1p Factor
YER058W	PET117	PETite colonies
YER059W	PCL6	Pho85 CycLin
YER060W	FCY21	FluoroCYtosine resistance
YER060W-A	FCY22	FluoroCYtosine resistance
YER061C	CEM1	Condensing Enzyme with Mitochondrial function
YER062C	GPP2	Glycerol-3-Phosphate Phosphatase
YER063W	THO1	suppressor of the Transcriptional defect of Hpr1 by Overexpression
YER064C	VHR2	VHt1 Regulator
YER065C	ICL1	IsoCitrate Lyase
YER066C-A	""	""
YER066W	RRT13	Regulator of rDNA Transcription
YER067C-A	""	""
YER067W	RGI1	Respiratory Growth Induced
YER068C-A	""	""
YER068W	MOT2	Modulator Of Transcription
YER069W	ARG5,6	ARGinine requiring
YER070W	RNR1	RiboNucleotide Reductase
YER071C	TDA2	Topoisomerase I Damage Affected
YER072W	VTC1	Vacuolar Transporter Chaperone
YER073W	ALD5	ALdehyde Dehydrogenase
YER074W	RPS24A	Ribosomal Protein of the Small subunit
YER074W-A	YOS1	Yip One Suppressor
YER075C	PTP3	Protein Tyrosine Phosphatase
YER076C	""	""
YER076W-A	""	""
YER077C	MRX1	Mitochondrial oRganization of gene eXpression (MIOREX)
YER078C	ICP55	Intermediate Cleaving Peptidase
YER078W-A	""	""
YER079C-A	""	""
YER079W	""	""
YER080W	AIM9	Altered Inheritance rate of Mitochondria
YER081W	SER3	SERine requiring
YER082C	UTP7	U Three Protein
YER083C	GET2	Guided Entry of Tail-anchored proteins
YER084W	""	""
YER084W-A	""	""
YER085C	""	""
YER086W	ILV1	IsoLeucine-plus-Valine requiring
YER087C-A	""	""
YER087C-B	SBH1	Sec61 beta homolog 1
YER087W	AIM10	Altered Inheritance rate of Mitochondria
YER088C	DOT6	Disruptor Of Telomeric silencing
YER088C-A	""	""
YER088W-B	""	""
YER089C	PTC2	Phosphatase Two C
YER090C-A	""	""
YER090W	TRP2	TRyPtophan
YER091C	MET6	METhionine requiring
YER091C-A	""	""
YER092W	IES5	Ino Eighty Subunit
YER093C	TSC11	Temperature-sensitive Suppressors of Csg2 mutants
YER093C-A	AIM11	Altered Inheritance rate of Mitochondria
YER094C	PUP3	PUtative Proteasome subunit
YER095W	RAD51	RADiation sensitive
YER096W	SHC1	Sporulation-specific Homolog of CSD4
YER097W	""	""
YER098W	UBP9	UBiquitin-specific Protease
YER099C	PRS2	PhosphoRibosylpyrophosphate Synthetase
YER100W	UBC6	UBiquitin-Conjugating
YER101C	AST2	ATPase STabilizing
YER102W	RPS8B	Ribosomal Protein of the Small subunit
YER103W	SSA4	Stress-Seventy subfamily A
YER104W	RTT105	Regulator of Ty1 Transposition
YER105C	NUP157	NUclear Pore
YER106W	MAM1	Monopolar microtubule Attachment during Meiosis I
YER107C	GLE2	GLFG LEthal
YER107W-A	""	""
YER110C	KAP123	KAryoPherin
YER111C	SWI4	SWItching deficient
YER112W	LSM4	Like SM
YER113C	TMN3	TransMembrane Nine
YER114C	BOI2	Bem1 (One) Interacting protein
YER115C	SPR6	SPorulation Regulated
YER116C	SLX8	Synthetic Lethal of unknown (X) function
YER117W	RPL23B	Ribosomal Protein of the Large subunit
YER118C	SHO1	Synthetic, High Osmolarity-sensitive
YER119C	AVT6	Amino acid Vacuolar Transport
YER119C-A	""	""
YER120W	SCS2	Suppressor of Choline Sensitivity
YER121W	""	""
YER122C	GLO3	GLyOxalase
YER123W	YCK3	Yeast Casein Kinase
YER124C	DSE1	Daughter Specific Expression
YER125W	RSP5	Reverses Spt- Phenotype
YER126C	NSA2	Nop Seven Associated
YER127W	LCP5	Lethal with Conditional Pap1
YER128W	VFA1	Vps Four-Associated
YER129W	SAK1	Snf1 Activating Kinase
YER130C	COM2	Cousin of Msn2
YER131W	RPS26B	Ribosomal Protein of the Small subunit
YER132C	PMD1	Paralog of MDS3
YER133W	GLC7	GLyCogen
YER133W-A	""	""
YER134C	""	""
YER135C	""	""
YER136W	GDI1	GDP Dissociation Inhibitor
YER137C	""	""
YER137W-A	""	""
YER138W-A	""	""
YER139C	RTR1	Regulator of TRanscription
YER140W	EMP65	ER Membrane Protein of 65 kDa
YER141W	COX15	Cytochrome c OXidase
YER142C	MAG1	3-MethylAdenine DNA Glycosylase
YER143W	DDI1	DNA Damage Inducible
YER144C	UBP5	UBiquitin-specific Protease
YER145C	FTR1	Fe TRansporter
YER145C-A	""	""
YER146W	LSM5	Like SM
YER147C	SCC4	Sister Chromatid Cohesion
YER147C-A	""	""
YER148W	SPT15	SuPpressor of Ty insertions
YER148W-A	""	""
YER149C	PEA2	PEAnut shmoo mutant
YER150W	SPI1	Stationary Phase Induced
YER151C	UBP3	UBiquitin-specific Protease
YER152C	""	""
YER152W-A	""	""
YER153C	PET122	PETite colonies
YER154W	OXA1	cytochrome OXidase Activity
YER155C	BEM2	Bud EMergence
YER156C	""	""
YER157W	COG3	Conserved Oligomeric Golgi complex
YER158C	""	""
YER158W-A	""	""
YER159C	BUR6	Bypass UAS Requirement
YER161C	SPT2	SuPpressor of Ty's
YER162C	RAD4	RADiation sensitive
YER163C	GCG1	Gamma-glutamyl Cyclotransferase acting on Glutathione
YER164W	CHD1	Chromatin organization modifier, Helicase, and DNA-binding domains
YER165C-A	""	""
YER165W	PAB1	Poly(A) Binding protein
YER166W	DNF1	Drs2 Neo1 Family
YER167W	BCK2	Bypass of C Kinase
YER168C	CCA1	tRNA CCA-pyrophosphorylase
YER169W	RPH1	Regulator of PHR1
YER170W	ADK2	ADenylate Kinase
YER171W	RAD3	RADiation sensitive
YER172C	BRR2	Bad Response to Refrigeration
YER172C-A	""	""
YER173W	RAD24	RADiation sensitive
YER174C	GRX4	GlutaRedoXin
YER175C	TMT1	Trans-aconitate MethylTransferase
YER175W-A	""	""
YER176W	ECM32	ExtraCellular Mutant
YER177W	BMH1	Brain Modulosignalin Homolog
YER178W	PDA1	Pyruvate Dehydrogenase Alpha
YER179W	DMC1	Disrupted Meiotic cDNA
YER180C	ISC10	message Induced in Sporogenesis in S. Cervisiae
YER180C-A	SLO1	Scoco-Like Orf
YER181C	""	""
YER182W	FMP10	Found in Mitochondrial Proteome
YER183C	FAU1	Folinic Acid Utilization
YER184C	TOG1	Transcriptional regulator of Oleate utilization Genes
YER185W	PUG1	Protoporphyrin Uptake Gene
YER186C	""	""
YER187W	""	""
YER188C-A	""	""
YER188W	""	""
YER189W	""	""
YER190C-A	""	""
YER190C-B	""	""
YER190W	YRF1-2	""
YFL001W	DEG1	DEpressed Growth rate
YFL002C	SPB4	Suppressor of PAB1
YFL003C	MSH4	MutS Homolog
YFL004W	VTC2	Vacuolar Transporter Chaperone
YFL005W	SEC4	SECretory
YFL007W	BLM10	BLeoMycin resistance
YFL008W	SMC1	Stability of MiniChromosomes
YFL009W	CDC4	Cell Division Cycle
YFL010C	WWM1	WW domain containing protein interacting with Metacaspase
YFL010W-A	AUA1	Amino acid Uptake Activation
YFL011W	HXT10	HeXose Transporter
YFL012W	""	""
YFL012W-A	""	""
YFL013C	IES1	Ino Eighty Subunit
YFL013W-A	""	""
YFL014W	HSP12	Heat Shock Protein
YFL015C	""	""
YFL015W-A	""	""
YFL016C	MDJ1	Mitochondrial DnaJ
YFL017C	GNA1	GlucosamiNe-6-phosphate Acetyltransferase
YFL017W-A	SMX2	""
YFL018C	LPD1	LiPoamide Dehydrogenase
YFL019C	""	""
YFL020C	PAU5	seriPAUperin family
YFL021C-A	""	""
YFL021W	GAT1	""
YFL022C	FRS2	phenylalanyl (F)-tRNA Synthetase
YFL023W	BUD27	BUD site selection
YFL024C	EPL1	Enhancer of Polycomb Like
YFL025C	BST1	Bypass of Sec Thirteen
YFL026W	STE2	STErile
YFL027C	GYP8	Gtpase-activating protein for Ypt Proteins
YFL028C	CAF16	CCR4 Associated Factor
YFL029C	CAK1	Cdk-Activating Kinase
YFL030W	AGX1	Alanine:Glyoxylate aminotrans(X)ferase
YFL031C-A	""	""
YFL031W	HAC1	Homologous to Atf/Creb1
YFL032W	""	""
YFL033C	RIM15	Regulator of IME2
YFL034C-A	RPL22B	Ribosomal Protein of the Large subunit
YFL034C-B	MOB2	Mps One Binder
YFL034W	MIL1	Medium adaptin-Interacting Ligand
YFL036W	RPO41	RNA POlymerase
YFL037W	TUB2	TUBulin
YFL038C	YPT1	Yeast Protein Two
YFL039C	ACT1	ACTin
YFL040W	""	""
YFL041W	FET5	FErrous Transport
YFL041W-A	""	""
YFL042C	LAM5	Lipid transfer protein Anchored at Membrane contact site
YFL044C	OTU1	Ovarian TUmor
YFL045C	SEC53	SECretory
YFL046W	FMP32	Found in Mitochondrial Proteome
YFL047W	RGD2	RhoGAP domain
YFL048C	EMP47	""
YFL049W	SWP82	SWi/snf-associated Protein
YFL050C	ALR2	ALuminum Resistance
YFL051C	""	""
YFL052W	ZNF1	ZiNc Finger protein
YFL053W	DAK2	DihydroxyAcetone Kinase
YFL054C	AQY3	AQuaporin from Yeast
YFL055W	AGP3	high-Affinity Glutamine Permease
YFL058W	THI5	THIamine metabolism
YFL059W	SNZ3	SNooZe
YFL060C	SNO3	SNZ proximal Open reading frame
YFL061W	DDI2	DNA Damage Inducible
YFL062W	COS4	COnserved Sequence
YFL063W	""	""
YFL064C	""	""
YFL065C	""	""
YFL066C	""	""
YFL067W	""	""
YFL068W	""	""
YFR001W	LOC1	LOCalization of mRNA
YFR002W	NIC96	Nucleoporin-Interacting Component of 96 kDa
YFR003C	YPI1	Yeast Phosphatase Inhibitor
YFR004W	RPN11	Regulatory Particle Non-ATPase
YFR005C	SAD1	SnRNP Assembly Defective
YFR006W	""	""
YFR007W	YFH7	""
YFR008W	FAR7	Factor ARrest
YFR009W	GCN20	General Control Nonderepressible
YFR009W-A	""	""
YFR010W	UBP6	UBiquitin-specific Protease
YFR010W-A	""	""
YFR011C	MIC19	MItochondrial contact site and Cristae organizing system
YFR012W	DCV1	Demands Cdc28 kinase activity for Viability
YFR012W-A	""	""
YFR013W	IOC3	Iswi One Complex
YFR014C	CMK1	CalModulin dependent protein Kinase
YFR015C	GSY1	Glycogen SYnthase
YFR016C	AIP5	Actin Interacting Protein
YFR017C	IGD1	Inhibitor of Glycogen Debranching
YFR018C	""	""
YFR019W	FAB1	Forms Aploid and Binucleate cells
YFR020W	CSS2	Condition Specific Secretion
YFR021W	ATG18	AuTophaGy related
YFR022W	ROG3	Revertant Of Glycogen synthase kinase mutation
YFR023W	PES4	Polymerase Epsilon Suppressor
YFR024C-A	LSB3	Las Seventeen Binding protein
YFR025C	HIS2	HIStidine requiring
YFR026C	ULI1	Upr-L-Inducible gene
YFR027W	ECO1	Establishment of COhesion
YFR028C	CDC14	Cell Division Cycle
YFR029W	PTR3	Peptide TRansport
YFR030W	MET10	METhionine requiring
YFR031C	SMC2	Structural Maintenance of Chromosomes
YFR031C-A	RPL2A	Ribosomal Protein of the Large subunit
YFR032C	RRT5	Regulator of rDNA Transcription
YFR032C-A	RPL29	Ribosomal Protein of the Large subunit
YFR032C-B	MIN10	mitochondrial MINi protein of 10 kDa
YFR033C	QCR6	ubiQuinol-cytochrome C oxidoReductase
YFR034C	PHO4	PHOsphate metabolism
YFR034W-A	""	""
YFR035C	""	""
YFR036W	CDC26	Cell Division Cycle
YFR036W-A	""	""
YFR037C	RSC8	Remodel the Structure of Chromatin
YFR038W	IRC5	Increased Recombination Centers
YFR039C	OSW7	Outer Spore Wall
YFR040W	SAP155	Sit4 Associated Protein
YFR041C	ERJ5	Endoplasmic Reticulum located J-protein
YFR042W	KEG1	Kre6-binding ER protein responsible for Glucan synthesis
YFR043C	IRC6	Increased Recombination Centers
YFR044C	DUG1	Deficient in Utilization of Glutathione
YFR045W	""	""
YFR046C	CNN1	Co-purified with NNf1p
YFR047C	BNA6	Biosynthesis of Nicotinic Acid
YFR048W	RMD8	Required for Meiotic nuclear Division
YFR049W	YMR31	Yeast Mitochondrial Ribosomal protein
YFR050C	PRE4	PRoteinase yscE
YFR051C	RET2	RETrieval from ER
YFR052C-A	""	""
YFR052W	RPN12	Regulatory Particle Non-ATPase
YFR053C	HXK1	HeXoKinase
YFR054C	""	""
YFR055W	IRC7	Increased Recombination Centers
YFR056C	""	""
YFR057W	""	""
YGL001C	ERG26	ERGosterol biosynthesis
YGL002W	ERP6	Emp24p/Erv25p Related Protein
YGL003C	CDH1	CDC20 Homolog
YGL004C	RPN14	Regulatory Particle Non-ATPase
YGL005C	COG7	Conserved Oligomeric Golgi complex
YGL006W	PMC1	Plasma Membrane Calcium
YGL006W-A	""	""
YGL007C-A	""	""
YGL007W	BRP1	""
YGL008C	PMA1	Plasma Membrane ATPase
YGL009C	LEU1	LEUcine biosynthesis
YGL010W	MPO1	Metabolism of PHS to Odd-numbered fatty acids
YGL011C	SCL1	Suppressor of Crl3 ts Lethality
YGL012W	ERG4	ERGosterol biosynthesis
YGL013C	PDR1	Pleiotropic Drug Resistance
YGL014C-A	""	""
YGL014W	PUF4	PUmilio-homology domain Family
YGL015C	""	""
YGL016W	KAP122	KAryoPherin
YGL017W	ATE1	Arginyl-tRNA-protein transfErase
YGL018C	JAC1	J-type Accessory Chaperone
YGL019W	CKB1	Casein Kinase Beta subunit
YGL020C	GET1	Guided Entry of Tail-anchored proteins
YGL021W	ALK1	""
YGL022W	STT3	STaurosporine and Temperature sensitive
YGL023C	PIB2	PhosphatidylInositol(3)-phosphate Binding
YGL024W	""	""
YGL025C	PGD1	PolyGlutamine Domain
YGL026C	TRP5	TRyPtophan
YGL027C	CWH41	Calcofluor White Hypersensitive
YGL028C	SCW11	Soluble Cell Wall protein
YGL029W	CGR1	Coiled-coil Growth-Regulated
YGL030W	RPL30	Ribosomal Protein of the Large subunit
YGL031C	RPL24A	Ribosomal Protein of the Large subunit
YGL032C	AGA2	a-AGglutinin
YGL033W	HOP2	HOmologous Pairing
YGL034C	""	""
YGL035C	MIG1	Multicopy Inhibitor of GAL gene expression
YGL036W	""	""
YGL037C	PNC1	Pyrazinamidase and NiCotinamidase
YGL038C	OCH1	Outer CHain elongation
YGL039W	""	""
YGL040C	HEM2	HEMe biosynthesis
YGL041C	""	""
YGL041C-B	""	""
YGL041W-A	DPC13	Delta-Psi dependent mitochondrial import and Cleavage protein of ~13 kDa
YGL042C	""	""
YGL043W	DST1	DNA Strand Transfer
YGL044C	RNA15	poly(A) mRNA metabolism
YGL045W	RIM8	Regulator of IME2
YGL047W	ALG13	Asparagine-Linked Glycosylation
YGL048C	RPT6	Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase
YGL049C	TIF4632	Translation Initiation Factor
YGL050W	TYW3	Trna-YW synthesizing protein
YGL051W	MST27	Multicopy suppressor of Sec Twenty one
YGL052W	""	""
YGL053W	PRM8	Pheromone-Regulated Membrane protein
YGL054C	ERV14	ER Vesicle
YGL055W	OLE1	OLEic acid requiring
YGL056C	SDS23	homolog of S. pombe SDS23
YGL057C	GEP7	GEnetic interactors of Prohibitins
YGL058W	RAD6	RADiation sensitive
YGL059W	PKP2	Protein Kinase of PDH
YGL060W	YBP2	Yap1-Binding Protein
YGL061C	DUO1	Death Upon Overproduction
YGL062W	PYC1	PYruvate Carboxylase
YGL063C-A	""	""
YGL063W	PUS2	PseudoUridine Synthase
YGL064C	MRH4	Mitochondrial RNA Helicase
YGL065C	ALG2	Asparagine-Linked Glycosylation
YGL066W	SGF73	SaGa associated Factor, 73 kDa
YGL067W	NPY1	NADH PYrophosphatase
YGL068W	MNP1	Mitochondrial-Nucleoid Protein
YGL069C	""	""
YGL070C	RPB9	RNA Polymerase B
YGL071W	AFT1	Activator of Ferrous Transport
YGL072C	""	""
YGL073W	HSF1	Heat Shock transcription Factor
YGL074C	""	""
YGL075C	MPS2	MonoPolar Spindle
YGL076C	RPL7A	Ribosomal Protein of the Large subunit
YGL077C	HNM1	Hyper-resistance to Nitrogen Mustard
YGL078C	DBP3	Dead Box Protein
YGL079W	KXD1	KxDL homolog
YGL080W	MPC1	Mitochondrial Pyruvate Carrier
YGL081W	""	""
YGL082W	""	""
YGL083W	SCY1	""
YGL084C	GUP1	Glycerol UPtake
YGL085W	LCL3	Long Chronological Lifespan 3
YGL086W	MAD1	Mitotic Arrest-Deficient
YGL087C	MMS2	Methyl MethaneSulfonate sensitivity
YGL088W	""	""
YGL089C	MF(ALPHA)2	Mating Factor ALPHA
YGL090W	LIF1	Ligase Interacting Factor
YGL091C	NBP35	Nucleotide Binding Protein
YGL092W	NUP145	NUclear Pore
YGL093W	SPC105	Spindle Pole Component
YGL094C	PAN2	Poly(A)-binding protein-dependent poly(A) riboNuclease
YGL095C	VPS45	Vacuolar Protein Sorting
YGL096W	TOS8	Target Of Sbf
YGL097W	SRM1	Suppressor of Receptor Mutations
YGL098W	USE1	Unconventional SNARE in the ER
YGL099W	LSG1	Large-Subunit Gtpase
YGL100W	SEH1	SEc13 Homolog
YGL101W	YGK1	""
YGL102C	""	""
YGL103W	RPL28	Ribosomal Protein of the Large subunit
YGL104C	VPS73	Vacuolar Protein Sorting
YGL105W	ARC1	Aminoacyl-tRNA synthetase Cofactor
YGL106W	MLC1	Myosin Light Chain
YGL107C	RMD9	Required for Meiotic nuclear Division
YGL108C	""	""
YGL109W	""	""
YGL110C	CUE3	Coupling of Ubiquitin conjugation to ER degradation
YGL111W	NSA1	Nop Seven Associated
YGL112C	TAF6	TATA binding protein-Associated Factor
YGL113W	SLD3	Synthetically Lethal with Dpb11-1
YGL114W	""	""
YGL115W	SNF4	Sucrose NonFermenting
YGL116W	CDC20	Cell Division Cycle
YGL117W	""	""
YGL118C	""	""
YGL119W	COQ8	COenzyme Q
YGL120C	PRP43	Pre-mRNA Processing
YGL121C	GPG1	G Protein Gamma
YGL122C	NAB2	Nuclear polyAdenylated RNA-Binding
YGL123C-A	""	""
YGL123W	RPS2	Ribosomal Protein of the Small subunit
YGL124C	MON1	MONensin sensitivity
YGL125W	MET13	METhionine requiring
YGL126W	SCS3	Suppressor of Choline Sensitivity
YGL127C	SOH1	Suppressor Of Hpr1
YGL128C	CWC23	Complexed With Cef1p
YGL129C	RSM23	Ribosomal Small subunit of Mitochondria
YGL130W	CEG1	Capping Enzyme Guanylyltransferase
YGL131C	SNT2	""
YGL132W	""	""
YGL133W	ITC1	Imitation switch Two Complex
YGL134W	PCL10	Pho85 CycLin
YGL135W	RPL1B	Ribosomal Protein of the Large subunit
YGL136C	MRM2	Mitochondrial rRNA Methyl transferase
YGL137W	SEC27	SECretory
YGL138C	""	""
YGL139W	FLC3	FLavin Carrier
YGL140C	""	""
YGL141W	HUL5	Hect Ubiquitin Ligase
YGL142C	GPI10	GlycosylPhosphatidylInositol anchor biosynthesis
YGL143C	MRF1	Mitochondrial peptide chain Release Factor
YGL144C	ROG1	Revertant Of Glycogen synthase kinase mutation
YGL145W	TIP20	SEC20 (Twenty) Interacting Protein
YGL146C	RRT6	Regulator of rDNA Transcription
YGL147C	RPL9A	Ribosomal Protein of the Large subunit
YGL148W	ARO2	AROmatic amino acid requiring
YGL149W	""	""
YGL150C	INO80	INOsitol requiring
YGL151W	NUT1	Negative regulation of URS Two
YGL152C	""	""
YGL153W	PEX14	PEroXisome related
YGL154C	LYS5	LYSine requiring
YGL155W	CDC43	Cell Division Cycle
YGL156W	AMS1	Alpha-MannoSidase
YGL157W	ARI1	Aldehyde Reductase Intermediate, subclass of SDR
YGL158W	RCK1	Radiation sensitivity Complementing Kinase
YGL159W	""	""
YGL160W	AIM14	Altered Inheritance rate of Mitochondria
YGL161C	YIP5	Ypt-Interacting Protein
YGL162W	SUT1	Sterol UpTake
YGL163C	RAD54	RADiation sensitive
YGL164C	YRB30	Yeast Ran Binder
YGL165C	""	""
YGL166W	CUP2	""
YGL167C	PMR1	Plasma Membrane ATPase Related
YGL168W	HUR1	HydroxyUrea Resistance
YGL169W	SUA5	Suppressor of Upstream AUG
YGL170C	SPO74	SPOrulation
YGL171W	ROK1	Rescuer Of Kem1
YGL172W	NUP49	NUclear Pore
YGL173C	XRN1	eXoRiboNuclease
YGL174W	BUD13	BUD site selection
YGL175C	SAE2	Sporulation in the Absence of spo Eleven
YGL176C	""	""
YGL177W	""	""
YGL178W	MPT5	Multicopy suppressor of Pop Two
YGL179C	TOS3	Target Of Sbf
